Date,MeanTemperatureF,MeanHumidity ,PrecipitationIn ,CloudCover ,Events,zip
8/29/2013,68,75,0,4,,94107
8/30/2013,69,70,0,2,,94107
8/31/2013,64,75,0,4,,94107
9/1/2013,66,68,0,4,,94107
9/2/2013,69,77,0,6,,94107
9/3/2013,67,65,0,2,,94107
9/4/2013,68,72,0,4,,94107
9/5/2013,66,74,0,3,,94107
9/6/2013,71,58,0,0,,94107
9/7/2013,73,59,0,1,,94107
9/8/2013,65,70,0,2,,94107
9/9/2013,66,70,0,1,,94107
9/10/2013,66,73,0,1,,94107
9/11/2013,68,68,0,5,,94107
9/12/2013,65,73,0,7,Fog,94107
9/13/2013,62,80,0,6,,94107
9/14/2013,62,77,0,7,,94107
9/15/2013,66,72,0,5,,94107
9/16/2013,65,74,0,3,,94107
9/17/2013,63,72,0,3,,94107
9/18/2013,66,60,0,1,,94107
9/19/2013,67,58,0,0,,94107
9/20/2013,65,70,0,6,,94107
9/21/2013,63,75,0.23,6,Rain,94107
9/22/2013,63,70,0,1,,94107
9/23/2013,68,64,0,0,,94107
9/24/2013,65,66,0,1,,94107
9/25/2013,62,64,0,1,,94107
9/26/2013,62,53,0,0,,94107
9/27/2013,66,46,0,0,,94107
9/28/2013,66,60,0,1,,94107
9/29/2013,66,70,0,3,,94107
9/30/2013,66,69,T,4,Fog,94107
10/1/2013,63,61,0,3,,94107
10/2/2013,62,61,0,2,,94107
10/3/2013,62,47,0,0,,94107
10/4/2013,69,38,0,0,,94107
10/5/2013,69,36,0,0,,94107
10/6/2013,70,40,0.01,4,,94107
10/7/2013,68,46,0,3,,94107
10/8/2013,62,59,0,2,,94107
10/9/2013,60,60,0,2,,94107
10/10/2013,62,61,0,1,,94107
10/11/2013,57,70,0,4,,94107
10/12/2013,56,71,0,3,Fog,94107
10/13/2013,62,60,0,1,,94107
10/14/2013,64,49,0,0,,94107
10/15/2013,67,40,0,0,,94107
10/16/2013,67,41,0,1,,94107
10/17/2013,68,56,0,0,,94107
10/18/2013,60,66,0,1,,94107
10/19/2013,62,65,0,0,,94107
10/20/2013,57,77,0,2,Fog,94107
10/21/2013,55,80,0,3,,94107
10/22/2013,56,82,0,5,Fog,94107
10/23/2013,55,83,0,6,Fog,94107
10/24/2013,57,73,0,6,,94107
10/25/2013,59,69,0,4,,94107
10/26/2013,60,67,0,1,Fog,94107
10/27/2013,55,76,T,6,Rain,94107
10/28/2013,57,69,0,5,,94107
10/29/2013,58,66,0,4,,94107
10/30/2013,57,66,0,2,,94107
10/31/2013,59,54,0,0,,94107
11/1/2013,63,57,0,0,,94107
11/2/2013,57,73,0,3,,94107
11/3/2013,55,56,0,4,,94107
11/4/2013,56,56,0,0,,94107
11/5/2013,61,44,0,1,,94107
11/6/2013,61,52,0,5,,94107
11/7/2013,64,61,0,4,,94107
11/8/2013,60,72,0,2,Fog,94107
11/9/2013,57,64,0,1,,94107
11/10/2013,58,72,0,3,,94107
11/11/2013,58,72,0,7,,94107
11/12/2013,64,62,T,4,,94107
11/13/2013,60,77,0,3,Fog,94107
11/14/2013,56,84,0,5,,94107
11/15/2013,58,66,0,1,,94107
11/16/2013,56,67,0,2,,94107
11/17/2013,56,69,0,4,,94107
11/18/2013,53,69,0,5,,94107
11/19/2013,58,80,0.28,7,Rain,94107
11/20/2013,55,90,0.63,7,Rain,94107
11/21/2013,56,64,T,5,Rain,94107
11/22/2013,63,30,0,1,,94107
11/23/2013,58,50,0,0,,94107
11/24/2013,53,70,0,0,,94107
11/25/2013,53,70,0,1,,94107
