PDT,Mean TemperatureF, Mean Humidity,PrecipitationIn, CloudCover, Events,Zip
3/1/2014,62,63,0.03,7,Rain,94107
3/2/2014,57,75,0.02,6,Rain,94107
3/3/2014,56,77,0.1,7,Rain,94107
3/4/2014,61,77,T,7,Rain,94107
3/5/2014,60,73,0.26,8,Rain,94107
3/6/2014,58,80,0.01,6,Rain,94107
3/7/2014,57,67,0,2,,94107
3/8/2014,59,63,0,5,Fog,94107
3/9/2014,63,69,T,7,Rain,94107
3/10/2014,62,66,T,5,Rain,94107
3/11/2014,61,40,0,1,,94107
3/12/2014,66,26,0,0,,94107
3/13/2014,58,58,0,1,,94107
3/14/2014,60,68,0,4,,94107
3/15/2014,62,63,0,0,Fog,94107
3/16/2014,60,68,0,3,Fog,94107
3/17/2014,59,60,T,3,,94107
3/18/2014,57,55,0,1,,94107
3/19/2014,59,52,0,2,,94107
3/20/2014,60,61,0,5,,94107
3/21/2014,56,69,0,3,,94107
3/22/2014,58,64,0,3,,94107
3/23/2014,57,68,0,3,,94107
3/24/2014,59,58,0,1,,94107
3/25/2014,54,75,0.15,5,Rain,94107
3/26/2014,58,77,0.63,7,Rain,94107
3/27/2014,61,61,T,6,,94107
3/28/2014,63,63,0.01,6,Rain,94107
3/29/2014,57,79,0.87,8,Rain,94107
3/30/2014,56,64,0,4,,94107
3/31/2014,53,76,0.57,6,Rain,94107
4/1/2014,52,72,0.69,7,Rain,94107
4/2/2014,53,68,T,4,Rain,94107
4/3/2014,54,69,0,5,,94107
4/4/2014,56,71,0.32,6,Rain,94107
4/5/2014,56,71,0,2,,94107
4/6/2014,61,71,0,2,,94107
4/7/2014,65,62,0,0,,94107
4/8/2014,67,70,0,3,,94107
4/9/2014,59,75,0,4,,94107
4/10/2014,63,71,0,5,,94107
4/11/2014,58,75,0,7,,94107
4/12/2014,59,69,0,5,,94107
4/13/2014,61,69,0,4,,94107
4/14/2014,59,73,0,5,,94107
4/15/2014,59,70,0,4,,94107
4/16/2014,62,64,0,2,,94107
4/17/2014,58,75,0,2,,94107
4/18/2014,58,70,0,3,,94107
4/19/2014,59,69,0,5,,94107
4/20/2014,63,60,0,3,,94107
4/21/2014,59,63,0,5,,94107
4/22/2014,59,60,T,5,Rain,94107
4/23/2014,56,56,0,3,,94107
4/24/2014,59,71,0.02,5,Rain,94107
4/25/2014,55,74,0.57,8,Rain,94107
4/26/2014,53,63,0,4,,94107
4/27/2014,58,57,T,5,Rain,94107
4/28/2014,59,67,0,1,,94107
4/29/2014,67,52,0,2,,94107
4/30/2014,73,53,0,2,,94107
5/1/2014,71,45,0,2,,94107
5/2/2014,63,71,0,5,Fog,94107
5/3/2014,61,69,0,6,,94107
5/4/2014,63,66,0,5,,94107
5/5/2014,61,64,0,4,,94107
5/6/2014,61,58,0,1,,94107
5/7/2014,58,64,0,4,,94107
5/8/2014,60,73,T,7,Rain,94107
5/9/2014,62,64,T,5,,94107
5/10/2014,61,53,0,2,,94107
5/11/2014,65,45,0,1,,94107
5/12/2014,66,50,0,2,,94107
5/13/2014,74,43,0,1,,94107
5/14/2014,75,43,0,2,,94107
5/15/2014,70,47,0,3,,94107
5/16/2014,63,65,0,5,,94107
5/17/2014,61,71,0,6,,94107
5/18/2014,63,64,0,3,,94107
5/19/2014,62,65,0,5,,94107
5/20/2014,63,64,0,5,,94107
5/21/2014,63,68,0,5,,94107
5/22/2014,62,72,0,6,,94107
5/23/2014,61,72,0,6,,94107
5/24/2014,61,71,0,3,,94107
5/25/2014,65,61,0,1,,94107
5/26/2014,62,71,T,0,,94107
5/27/2014,61,64,0,1,,94107
5/28/2014,62,57,0,0,,94107
5/29/2014,64,55,0,1,,94107
5/30/2014,59,70,0,6,,94107
5/31/2014,61,71,T,4,,94107
6/1/2014,62,71,0,3,,94107
6/2/2014,60,73,0,6,,94107
6/3/2014,60,68,0,4,,94107
6/4/2014,61,71,0,4,,94107
6/5/2014,60,74,0,3,,94107
6/6/2014,61,74,0,3,,94107
6/7/2014,63,71,0,3,,94107
6/8/2014,70,61,0,0,,94107
6/9/2014,68,67,0,1,,94107
6/10/2014,63,73,0,4,,94107
6/11/2014,64,66,0,5,,94107
6/12/2014,61,68,0,5,,94107
6/13/2014,64,65,0,2,,94107
6/14/2014,67,63,0,2,,94107
6/15/2014,61,66,0,5,,94107
6/16/2014,61,70,0,5,,94107
6/17/2014,62,56,0,1,,94107
6/18/2014,68,53,0,0,,94107
6/19/2014,61,70,0,2,,94107
6/20/2014,64,66,0,4,,94107
6/21/2014,59,70,0,5,,94107
6/22/2014,60,67,0,4,,94107
6/23/2014,63,67,0,5,,94107
6/24/2014,62,71,0,3,,94107
6/25/2014,63,79,T,7,,94107
6/26/2014,65,74,T,5,Rain,94107
6/27/2014,64,76,0,5,,94107
6/28/2014,65,72,0,3,,94107
6/29/2014,67,62,0,0,,94107
6/30/2014,70,63,0,3,,94107
7/1/2014,64,73,0,5,,94107
7/2/2014,64,72,0,6,,94107
7/3/2014,62,71,0,3,,94107
7/4/2014,61,76,0,4,,94107
7/5/2014,63,73,0,3,,94107
7/6/2014,62,73,0,3,,94107
7/7/2014,62,76,0,7,,94107
7/8/2014,63,78,0,5,,94107
7/9/2014,64,77,0,4,,94107
7/10/2014,67,71,0,4,,94107
7/11/2014,67,69,0,5,,94107
7/12/2014,64,69,T,5,,94107
7/13/2014,65,74,T,6,,94107
7/14/2014,67,70,0,3,,94107
7/15/2014,68,73,0,6,,94107
7/16/2014,68,74,0,6,,94107
7/17/2014,68,68,0,4,,94107
7/18/2014,67,73,0,6,,94107
