PDT,Mean TemperatureF, Mean Humidity,PrecipitationIn, CloudCover, Events,ZIP
9/1/2015,67,67,0,2,,94107
9/2/2015,68,68,0,5,,94107
9/3/2015,65,69,0,2,,94107
9/4/2015,64,61,0,2,,94107
9/5/2015,65,60,0,2,,94107
9/6/2015,68,44,0,3,,94107
9/7/2015,73,42,0,1,,94107
9/8/2015,76,43,0,0,,94107
9/9/2015,77,47,0,0,,94107
9/10/2015,74,59,0,2,,94107
9/11/2015,70,67,0,4,,94107
9/12/2015,67,70,0,7,,94107
9/13/2015,68,72,T,6,Rain,94107
9/14/2015,67,77,T,7,,94107
9/15/2015,65,67,0,4,,94107
9/16/2015,66,68,T,6,Rain,94107
9/17/2015,65,72,0,4,,94107
9/18/2015,67,68,0,0,,94107
9/19/2015,71,61,0,0,,94107
9/20/2015,74,48,0,1,,94107
9/21/2015,76,52,0,0,,94107
9/22/2015,62,77,0,4,,94107
9/23/2015,64,66,0,2,,94107
9/24/2015,73,52,0,6,,94107
9/25/2015,66,71,0,3,,94107
9/26/2015,65,70,0,3,,94107
9/27/2015,65,73,0,6,Fog,94107
9/28/2015,62,76,0,5,,94107
9/29/2015,64,67,0,7,,94107
9/30/2015,61,80,T,7,Rain,94107
10/1/2015,67,72,0,4,,94107
10/2/2015,64,73,0,0,,94107
10/3/2015,62,75,0,3,,94107
10/4/2015,63,61,0,1,,94107
10/5/2015,65,65,0,1,,94107
10/6/2015,66,73,0,2,,94107
10/7/2015,67,69,0,5,,94107
10/8/2015,68,64,0,5,,94107
10/9/2015,67,64,0,1,,94107
10/10/2015,67,81,0,5,Fog,94107
10/11/2015,66,74,0,2,,94107
10/12/2015,69,65,0,0,,94107
10/13/2015,73,57,0,1,,94107
10/14/2015,68,70,0,5,Fog,94107
10/15/2015,66,73,T,6,Rain,94107
10/16/2015,67,72,T,4,,94107
10/17/2015,66,75,0,7,,94107
10/18/2015,66,71,0,5,,94107
10/19/2015,64,74,0,5,,94107
10/20/2015,67,71,0,1,,94107
10/21/2015,64,68,0,1,,94107
10/22/2015,63,73,0,2,,94107
10/23/2015,63,65,0,4,Fog,94107
10/24/2015,63,73,0,6,Fog,94107
10/25/2015,63,77,0,4,,94107
10/26/2015,66,71,0,6,,94107
10/27/2015,64,62,T,7,,94107
10/28/2015,63,75,T,4,,94107
10/29/2015,63,65,0,0,,94107
10/30/2015,62,64,0,0,,94107
10/31/2015,64,72,0,1,,94107
11/1/2015,63,78,0.04,6,Rain,94107
11/2/2015,58,75,0.31,6,Rain,94107
11/3/2015,56,66,0,1,,94107
11/4/2015,56,46,0,1,,94107
11/5/2015,54,58,0,3,,94107
11/6/2015,56,57,0,0,,94107
11/7/2015,55,67,0,1,,94107
11/8/2015,55,75,T,6,Rain,94107
11/9/2015,54,74,0.29,5,Rain-Thunderstorm,94107
11/10/2015,52,69,0,1,,94107
11/11/2015,50,72,0,0,,94107
11/12/2015,52,69,0,0,,94107
11/13/2015,56,60,0,0,,94107
11/14/2015,52,67,0,1,,94107
11/15/2015,32,74,0.3,6,Rain,94107
11/16/2015,54,43,0,0,,94107
11/17/2015,56,70,0,3,,94107
