,Date,NumRides,TotalMinutes
0,1/1/2014,359,16462
1,1/1/2015,181,6382
2,1/1/2016,98,4039
3,1/10/2014,983,13948
4,1/10/2015,362,14389
5,1/10/2016,133,3504
6,1/11/2014,247,12293
7,1/11/2015,327,9229
8,1/11/2016,1060,10649
9,1/12/2014,351,16102
10,1/12/2015,1344,14025
11,1/12/2016,1090,12543
12,1/13/2014,1015,15798
13,1/13/2015,1368,15812
14,1/13/2016,1033,10033
15,1/14/2014,1027,12268
16,1/14/2015,1296,14767
17,1/14/2016,838,10666
18,1/15/2014,1100,12704
19,1/15/2015,1229,14341
20,1/15/2016,966,9568
21,1/16/2014,1097,17151
22,1/16/2015,1082,19387
23,1/16/2016,162,3083
24,1/17/2014,1014,13937
25,1/17/2015,319,11673
26,1/17/2016,104,2110
27,1/18/2014,443,16437
28,1/18/2015,275,11394
29,1/18/2016,417,6152
30,1/19/2014,397,13830
31,1/19/2015,619,7825
32,1/19/2016,593,13101
33,1/2/2014,767,12021
34,1/2/2015,428,15441
35,1/2/2016,154,4783
36,1/20/2014,615,10972
37,1/20/2015,1213,11352
38,1/20/2016,1107,16772
39,1/21/2014,1011,13961
40,1/21/2015,1314,15626
41,1/21/2016,1089,12299
42,1/22/2014,1071,12573
43,1/22/2015,1224,14158
44,1/22/2016,513,7366
45,1/23/2014,1094,13930
46,1/23/2015,1164,12118
47,1/23/2016,236,5128
48,1/24/2014,1021,11984
49,1/24/2015,420,12834
50,1/24/2016,226,6514
51,1/25/2014,444,25072
52,1/25/2015,259,10608
53,1/25/2016,1127,11514
54,1/26/2014,390,9644
55,1/26/2015,1249,24870
56,1/26/2016,1114,10986
57,1/27/2014,959,8178
58,1/27/2015,1260,13802
59,1/27/2016,1131,12957
60,1/28/2014,1026,16995
61,1/28/2015,1345,17748
62,1/28/2016,1095,11932
63,1/29/2014,952,10023
64,1/29/2015,1295,14971
65,1/29/2016,590,6806
66,1/3/2014,779,15862
67,1/3/2015,283,9023
68,1/3/2016,135,5527
69,1/30/2014,946,11682
70,1/30/2015,1193,22966
71,1/30/2016,318,6001
72,1/31/2014,839,12165
73,1/31/2015,375,13541
74,1/31/2016,213,4666
75,1/4/2014,356,9834
76,1/4/2015,206,9285
77,1/4/2016,765,8071
78,1/5/2014,296,7312
79,1/5/2015,1186,12575
80,1/5/2016,632,5789
81,1/6/2014,915,12527
82,1/6/2015,1255,13559
83,1/6/2016,562,4908
84,1/7/2014,967,10707
85,1/7/2015,1301,14118
86,1/7/2016,978,9295
87,1/8/2014,967,13029
88,1/8/2015,1295,16231
89,1/8/2016,909,9449
90,1/9/2014,980,13335
91,1/9/2015,1173,12792
92,1/9/2016,132,2332
93,10/1/2013,1072,19109
94,10/1/2014,1393,17486
95,10/1/2015,1253,14985
96,10/10/2013,1086,17741
97,10/10/2014,1299,27369
98,10/10/2015,393,12983
99,10/11/2013,1014,16090
100,10/11/2014,552,25763
101,10/11/2015,483,21705
102,10/12/2013,665,19374
103,10/12/2014,447,19604
104,10/12/2015,1142,14063
105,10/13/2013,572,25368
106,10/13/2014,1261,14299
107,10/13/2015,1397,17240
108,10/14/2013,1050,24951
109,10/14/2014,1496,17526
110,10/14/2015,1371,17845
111,10/15/2013,1173,22518
112,10/15/2014,1384,18532
113,10/15/2015,1283,14567
114,10/16/2013,1165,21057
115,10/16/2014,1462,17367
116,10/16/2015,1190,16950
117,10/17/2013,1227,27040
118,10/17/2014,1257,23000
119,10/17/2015,292,9556
120,10/18/2013,1103,19866
121,10/18/2014,474,19951
122,10/18/2015,259,12079
123,10/19/2013,635,20191
124,10/19/2014,418,21391
125,10/19/2015,1292,16731
126,10/2/2013,1061,15482
127,10/2/2014,1452,23534
128,10/2/2015,1195,17058
129,10/20/2013,452,19607
130,10/20/2014,1266,16900
131,10/20/2015,1403,16840
132,10/21/2013,1015,13917
133,10/21/2014,1410,15783
134,10/21/2015,1328,15197
135,10/22/2013,1026,12350
136,10/22/2014,1319,16892
137,10/22/2015,1328,15438
