,Unnamed: 0,Date,NumRides,TotalMinutes,MinCategorize
0,0,1/1/2014,359,16462,15000 to 24999
1,1,1/1/2015,181,6382,4000 to 7499
2,2,1/1/2016,98,4039,4000 to 7499
3,3,1/10/2014,983,13948,10000 to 14999
4,4,1/10/2015,362,14389,10000 to 14999
5,5,1/10/2016,133,3504,2000 to 3999
6,6,1/11/2014,247,12293,10000 to 14999
7,7,1/11/2015,327,9229,7500 to 9999
8,8,1/11/2016,1060,10649,10000 to 14999
9,9,1/12/2014,351,16102,15000 to 24999
10,10,1/12/2015,1344,14025,10000 to 14999
11,11,1/12/2016,1090,12543,10000 to 14999
12,12,1/13/2014,1015,15798,15000 to 24999
13,13,1/13/2015,1368,15812,15000 to 24999
14,14,1/13/2016,1033,10033,10000 to 14999
15,15,1/14/2014,1027,12268,10000 to 14999
16,16,1/14/2015,1296,14767,10000 to 14999
17,17,1/14/2016,838,10666,10000 to 14999
18,18,1/15/2014,1100,12704,10000 to 14999
19,19,1/15/2015,1229,14341,10000 to 14999
20,20,1/15/2016,966,9568,7500 to 9999
21,21,1/16/2014,1097,17151,15000 to 24999
22,22,1/16/2015,1082,19387,15000 to 24999
23,23,1/16/2016,162,3083,2000 to 3999
24,24,1/17/2014,1014,13937,10000 to 14999
25,25,1/17/2015,319,11673,10000 to 14999
26,26,1/17/2016,104,2110,2000 to 3999
27,27,1/18/2014,443,16437,15000 to 24999
28,28,1/18/2015,275,11394,10000 to 14999
29,29,1/18/2016,417,6152,4000 to 7499
30,30,1/19/2014,397,13830,10000 to 14999
31,31,1/19/2015,619,7825,7500 to 9999
32,32,1/19/2016,593,13101,10000 to 14999
33,33,1/2/2014,767,12021,10000 to 14999
34,34,1/2/2015,428,15441,15000 to 24999
35,35,1/2/2016,154,4783,4000 to 7499
36,36,1/20/2014,615,10972,10000 to 14999
37,37,1/20/2015,1213,11352,10000 to 14999
38,38,1/20/2016,1107,16772,15000 to 24999
39,39,1/21/2014,1011,13961,10000 to 14999
40,40,1/21/2015,1314,15626,15000 to 24999
41,41,1/21/2016,1089,12299,10000 to 14999
42,42,1/22/2014,1071,12573,10000 to 14999
43,43,1/22/2015,1224,14158,10000 to 14999
44,44,1/22/2016,513,7366,4000 to 7499
45,45,1/23/2014,1094,13930,10000 to 14999
46,46,1/23/2015,1164,12118,10000 to 14999
47,47,1/23/2016,236,5128,4000 to 7499
48,48,1/24/2014,1021,11984,10000 to 14999
49,49,1/24/2015,420,12834,10000 to 14999
50,50,1/24/2016,226,6514,4000 to 7499
51,51,1/25/2014,444,25072,25000 to 49999
52,52,1/25/2015,259,10608,10000 to 14999
53,53,1/25/2016,1127,11514,10000 to 14999
54,54,1/26/2014,390,9644,7500 to 9999
55,55,1/26/2015,1249,24870,15000 to 24999
56,56,1/26/2016,1114,10986,10000 to 14999
57,57,1/27/2014,959,8178,7500 to 9999
58,58,1/27/2015,1260,13802,10000 to 14999
59,59,1/27/2016,1131,12957,10000 to 14999
60,60,1/28/2014,1026,16995,15000 to 24999
61,61,1/28/2015,1345,17748,15000 to 24999
62,62,1/28/2016,1095,11932,10000 to 14999
63,63,1/29/2014,952,10023,10000 to 14999
64,64,1/29/2015,1295,14971,10000 to 14999
65,65,1/29/2016,590,6806,4000 to 7499
66,66,1/3/2014,779,15862,15000 to 24999
67,67,1/3/2015,283,9023,7500 to 9999
68,68,1/3/2016,135,5527,4000 to 7499
69,69,1/30/2014,946,11682,10000 to 14999
70,70,1/30/2015,1193,22966,15000 to 24999
71,71,1/30/2016,318,6001,4000 to 7499
72,72,1/31/2014,839,12165,10000 to 14999
73,73,1/31/2015,375,13541,10000 to 14999
74,74,1/31/2016,213,4666,4000 to 7499
75,75,1/4/2014,356,9834,7500 to 9999
76,76,1/4/2015,206,9285,7500 to 9999
77,77,1/4/2016,765,8071,7500 to 9999
78,78,1/5/2014,296,7312,4000 to 7499
79,79,1/5/2015,1186,12575,10000 to 14999
80,80,1/5/2016,632,5789,4000 to 7499
81,81,1/6/2014,915,12527,10000 to 14999
82,82,1/6/2015,1255,13559,10000 to 14999
83,83,1/6/2016,562,4908,4000 to 7499
84,84,1/7/2014,967,10707,10000 to 14999
85,85,1/7/2015,1301,14118,10000 to 14999
86,86,1/7/2016,978,9295,7500 to 9999
87,87,1/8/2014,967,13029,10000 to 14999
88,88,1/8/2015,1295,16231,15000 to 24999
89,89,1/8/2016,909,9449,7500 to 9999
90,90,1/9/2014,980,13335,10000 to 14999
91,91,1/9/2015,1173,12792,10000 to 14999
92,92,1/9/2016,132,2332,2000 to 3999
93,93,10/1/2013,1072,19109,15000 to 24999
94,94,10/1/2014,1393,17486,15000 to 24999
95,95,10/1/2015,1253,14985,10000 to 14999
96,96,10/10/2013,1086,17741,15000 to 24999
97,97,10/10/2014,1299,27369,25000 to 49999
98,98,10/10/2015,393,12983,10000 to 14999
99,99,10/11/2013,1014,16090,15000 to 24999
100,100,10/11/2014,552,25763,25000 to 49999
101,101,10/11/2015,483,21705,15000 to 24999
102,102,10/12/2013,665,19374,15000 to 24999
103,103,10/12/2014,447,19604,15000 to 24999
104,104,10/12/2015,1142,14063,10000 to 14999
105,105,10/13/2013,572,25368,25000 to 49999
106,106,10/13/2014,1261,14299,10000 to 14999
107,107,10/13/2015,1397,17240,15000 to 24999
108,108,10/14/2013,1050,24951,15000 to 24999
109,109,10/14/2014,1496,17526,15000 to 24999
110,110,10/14/2015,1371,17845,15000 to 24999
111,111,10/15/2013,1173,22518,15000 to 24999
112,112,10/15/2014,1384,18532,15000 to 24999
113,113,10/15/2015,1283,14567,10000 to 14999
114,114,10/16/2013,1165,21057,15000 to 24999
115,115,10/16/2014,1462,17367,15000 to 24999
116,116,10/16/2015,1190,16950,15000 to 24999
117,117,10/17/2013,1227,27040,25000 to 49999
118,118,10/17/2014,1257,23000,15000 to 24999
119,119,10/17/2015,292,9556,7500 to 9999
120,120,10/18/2013,1103,19866,15000 to 24999
121,121,10/18/2014,474,19951,15000 to 24999
122,122,10/18/2015,259,12079,10000 to 14999
123,123,10/19/2013,635,20191,15000 to 24999
124,124,10/19/2014,418,21391,15000 to 24999
125,125,10/19/2015,1292,16731,15000 to 24999
126,126,10/2/2013,1061,15482,15000 to 24999
127,127,10/2/2014,1452,23534,15000 to 24999
128,128,10/2/2015,1195,17058,15000 to 24999
129,129,10/20/2013,452,19607,15000 to 24999
130,130,10/20/2014,1266,16900,15000 to 24999
131,131,10/20/2015,1403,16840,15000 to 24999
132,132,10/21/2013,1015,13917,10000 to 14999
133,133,10/21/2014,1410,15783,15000 to 24999
134,134,10/21/2015,1328,15197,15000 to 24999
135,135,10/22/2013,1026,12350,10000 to 14999
136,136,10/22/2014,1319,16892,15000 to 24999
137,137,10/22/2015,1328,15438,15000 to 24999
138,138,10/23/2013,1029,12212,10000 to 14999
139,139,10/23/2014,1389,18502,15000 to 24999
140,140,10/23/2015,1204,13420,10000 to 14999
141,141,10/24/2013,1053,11837,10000 to 14999
142,142,10/24/2014,1427,23836,15000 to 24999
143,143,10/24/2015,345,10942,10000 to 14999
144,144,10/25/2013,1048,16514,15000 to 24999
145,145,10/25/2014,406,11849,10000 to 14999
146,146,10/25/2015,295,11775,10000 to 14999
147,147,10/26/2013,501,26499,25000 to 49999
148,148,10/26/2014,470,15317,15000 to 24999
149,149,10/26/2015,1260,13129,10000 to 14999
150,150,10/27/2013,292,11947,10000 to 14999
151,151,10/27/2014,1393,14937,10000 to 14999
152,152,10/27/2015,1270,12722,10000 to 14999
153,153,10/28/2013,967,10871,10000 to 14999
154,154,10/28/2014,1419,15398,15000 to 24999
155,155,10/28/2015,1235,13142,10000 to 14999
156,156,10/29/2013,1008,13109,10000 to 14999
157,157,10/29/2014,1496,17847,15000 to 24999
158,158,10/29/2015,1310,15751,15000 to 24999
