,Date,NumRides
0,1/1/2014,359
1,1/1/2015,181
2,1/1/2016,98
3,1/10/2014,983
4,1/10/2015,362
5,1/10/2016,133
6,1/11/2014,247
7,1/11/2015,327
8,1/11/2016,1060
9,1/12/2014,351
10,1/12/2015,1344
11,1/12/2016,1090
12,1/13/2014,1015
13,1/13/2015,1368
14,1/13/2016,1033
15,1/14/2014,1027
16,1/14/2015,1296
17,1/14/2016,838
18,1/15/2014,1100
19,1/15/2015,1229
20,1/15/2016,966
21,1/16/2014,1097
22,1/16/2015,1082
23,1/16/2016,162
24,1/17/2014,1014
25,1/17/2015,319
26,1/17/2016,104
27,1/18/2014,443
28,1/18/2015,275
29,1/18/2016,417
30,1/19/2014,397
31,1/19/2015,619
32,1/19/2016,593
33,1/2/2014,767
34,1/2/2015,428
35,1/2/2016,154
36,1/20/2014,615
37,1/20/2015,1213
38,1/20/2016,1107
39,1/21/2014,1011
40,1/21/2015,1314
41,1/21/2016,1089
42,1/22/2014,1071
43,1/22/2015,1224
44,1/22/2016,513
45,1/23/2014,1094
46,1/23/2015,1164
47,1/23/2016,236
48,1/24/2014,1021
49,1/24/2015,420
50,1/24/2016,226
51,1/25/2014,444
52,1/25/2015,259
53,1/25/2016,1127
54,1/26/2014,390
55,1/26/2015,1249
56,1/26/2016,1114
57,1/27/2014,959
58,1/27/2015,1260
59,1/27/2016,1131
60,1/28/2014,1026
61,1/28/2015,1345
62,1/28/2016,1095
63,1/29/2014,952
64,1/29/2015,1295
65,1/29/2016,590
66,1/3/2014,779
67,1/3/2015,283
68,1/3/2016,135
69,1/30/2014,946
70,1/30/2015,1193
71,1/30/2016,318
72,1/31/2014,839
73,1/31/2015,375
74,1/31/2016,213
75,1/4/2014,356
76,1/4/2015,206
77,1/4/2016,765
78,1/5/2014,296
79,1/5/2015,1186
80,1/5/2016,632
81,1/6/2014,915
82,1/6/2015,1255
83,1/6/2016,562
84,1/7/2014,967
85,1/7/2015,1301
86,1/7/2016,978
87,1/8/2014,967
88,1/8/2015,1295
89,1/8/2016,909
90,1/9/2014,980
91,1/9/2015,1173
92,1/9/2016,132
93,10/1/2013,1072
94,10/1/2014,1393
95,10/1/2015,1253
96,10/10/2013,1086
97,10/10/2014,1299
98,10/10/2015,393
99,10/11/2013,1014
100,10/11/2014,552
101,10/11/2015,483
102,10/12/2013,665
103,10/12/2014,447
104,10/12/2015,1142
105,10/13/2013,572
106,10/13/2014,1261
107,10/13/2015,1397
108,10/14/2013,1050
109,10/14/2014,1496
110,10/14/2015,1371
111,10/15/2013,1173
112,10/15/2014,1384
113,10/15/2015,1283
114,10/16/2013,1165
115,10/16/2014,1462
116,10/16/2015,1190
117,10/17/2013,1227
118,10/17/2014,1257
119,10/17/2015,292
120,10/18/2013,1103
121,10/18/2014,474
122,10/18/2015,259
123,10/19/2013,635
124,10/19/2014,418
125,10/19/2015,1292
126,10/2/2013,1061
127,10/2/2014,1452
128,10/2/2015,1195
129,10/20/2013,452
130,10/20/2014,1266
131,10/20/2015,1403
132,10/21/2013,1015
133,10/21/2014,1410
134,10/21/2015,1328
135,10/22/2013,1026
136,10/22/2014,1319
137,10/22/2015,1328
138,10/23/2013,1029
139,10/23/2014,1389
140,10/23/2015,1204
141,10/24/2013,1053
142,10/24/2014,1427
143,10/24/2015,345
144,10/25/2013,1048
145,10/25/2014,406
146,10/25/2015,295
147,10/26/2013,501
148,10/26/2014,470
149,10/26/2015,1260
150,10/27/2013,292
151,10/27/2014,1393
152,10/27/2015,1270
153,10/28/2013,967
154,10/28/2014,1419
155,10/28/2015,1235
156,10/29/2013,1008
157,10/29/2014,1496
158,10/29/2015,1310
159,10/3/2013,1158
160,10/3/2014,1194
161,10/3/2015,304
162,10/30/2013,1122
163,10/30/2014,1411
164,10/30/2015,1229
165,10/31/2013,1150
166,10/31/2014,848
167,10/31/2015,263
168,10/4/2013,1088
169,10/4/2014,418
170,10/4/2015,309
171,10/5/2013,716
172,10/5/2014,324
173,10/5/2015,1287
174,10/6/2013,606
175,10/6/2014,1169
176,10/6/2015,1326
177,10/7/2013,964
178,10/7/2014,1293
179,10/7/2015,1326
180,10/8/2013,1018
181,10/8/2014,1367
182,10/8/2015,1285
183,10/9/2013,1069
184,10/9/2014,1306
185,10/9/2015,1196
186,11/1/2013,1120
187,11/1/2014,395
188,11/1/2015,240
189,11/10/2013,482
190,11/10/2014,1304
191,11/10/2015,1260
192,11/11/2013,986
193,11/11/2014,1213
194,11/11/2015,1128
195,11/12/2013,1154
196,11/12/2014,1363
197,11/12/2015,1238
198,11/13/2013,1002
199,11/13/2014,1133
200,11/13/2015,1166
201,11/14/2013,1115
202,11/14/2014,1210
203,11/14/2015,320
204,11/15/2013,1131
205,11/15/2014,384
206,11/15/2015,197
207,11/16/2013,474
208,11/16/2014,267
209,11/16/2015,1220
210,11/17/2013,406
211,11/17/2014,1304
212,11/17/2015,1207
213,11/18/2013,1008
214,11/18/2014,1322
215,11/18/2015,1253
216,11/19/2013,750
217,11/19/2014,906
218,11/19/2015,1145
219,11/2/2013,544
220,11/2/2014,372
221,11/2/2015,863
222,11/20/2013,625
223,11/20/2014,886
224,11/20/2015,1172
225,11/21/2013,1102
226,11/21/2014,1210
227,11/21/2015,277
228,11/22/2013,995
229,11/22/2014,343
230,11/22/2015,244
231,11/23/2013,525
232,11/23/2014,235
233,11/23/2015,1052
