,Date,NumRides,TotalMinutes,MinCategorize,PrecipIn,Weekdays,Humidity,Temperature,CloudCover 
0,1/1/2014,359,16462,6,0.0,2,7,8,4
1,1/1/2015,181,6382,3,0.0,3,6,9,2
2,1/1/2016,98,4039,3,0.0,4,6,8,0
3,1/10/2014,983,13948,5,0.0,4,6,8,2
4,1/10/2015,362,14389,5,0.0,5,7,8,5
5,1/10/2016,133,3504,2,0.0,6,5,8,1
6,1/11/2014,247,12293,5,0.0,5,6,7,1
7,1/11/2015,327,9229,4,0.0,6,6,7,1
8,1/11/2016,1060,10649,5,0.0,0,5,8,0
9,1/12/2014,351,16102,6,0.0,6,3,9,0
10,1/12/2015,1344,14025,5,0.0,0,5,8,0
11,1/12/2016,1090,12543,5,0.0,1,6,9,1
12,1/13/2014,1015,15798,6,0.0,0,6,8,2
13,1/13/2015,1368,15812,6,0.0,1,6,7,4
14,1/13/2016,1033,10033,5,0.0,2,7,7,5
15,1/14/2014,1027,12268,5,0.0,1,7,7,4
16,1/14/2015,1296,14767,5,0.0,2,7,7,4
17,1/14/2016,838,10666,5,0.0,3,7,7,3
18,1/15/2014,1100,12704,5,0.0,2,7,8,4
19,1/15/2015,1229,14341,5,0.0,3,5,7,1
20,1/15/2016,966,9568,4,0.0,4,5,7,0
21,1/16/2014,1097,17151,6,0.0,3,4,8,0
22,1/16/2015,1082,19387,6,0.0,4,6,7,2
23,1/16/2016,162,3083,2,1.0,5,8,6,6
24,1/17/2014,1014,13937,5,0.0,4,7,6,2
25,1/17/2015,319,11673,5,0.0,5,6,7,0
26,1/17/2016,104,2110,2,0.0,6,6,7,1
27,1/18/2014,443,16437,6,0.0,5,5,6,1
28,1/18/2015,275,11394,5,0.0,6,4,6,0
29,1/18/2016,417,6152,3,0.0,0,4,6,0
30,1/19/2014,397,13830,5,0.0,6,5,7,1
31,1/19/2015,619,7825,4,0.0,0,7,7,2
32,1/19/2016,593,13101,5,0.0,1,8,7,3
33,1/2/2014,767,12021,5,0.0,3,5,6,3
34,1/2/2015,428,15441,6,0.0,4,5,6,1
35,1/2/2016,154,4783,3,0.0,5,4,6,0
36,1/20/2014,615,10972,5,0.0,0,1,8,0
37,1/20/2015,1213,11352,5,0.0,1,1,7,0
38,1/20/2016,1107,16772,6,0.0,2,2,7,4
39,1/21/2014,1011,13961,5,0.0,1,2,7,2
40,1/21/2015,1314,15626,6,0.0,2,5,6,2
41,1/21/2016,1089,12299,5,0.0,3,6,5,2
