,Date,MeanTemperatureF,MeanHumidity ,PrecipitationIn ,CloudCover ,Events,zip,CloudDesc,PrecipDesc
0,8/29/2013,72,69,0.0,4,,95113,Cloudy,None
1,8/30/2013,76,65,0.0,2,,95113,Little Cloudy,None
2,8/31/2013,71,66,0.0,0,,95113,Clear,None
3,9/1/2013,72,62,0.0,2,,95113,Little Cloudy,None
4,9/2/2013,73,68,0.001,5,Rain,95113,Very Cloudy,None
5,9/3/2013,70,58,0.0,1,,95113,Clear,None
6,9/4/2013,69,62,0.0,1,,95113,Clear,None
7,9/5/2013,68,60,0.0,1,,95113,Clear,None
8,9/6/2013,72,54,0.0,0,,95113,Clear,None
9,9/7/2013,78,45,0.0,0,,95113,Clear,None
10,9/8/2013,74,59,0.0,0,,95113,Clear,None
11,9/9/2013,75,60,0.0,1,,95113,Clear,None
12,9/10/2013,70,65,0.0,2,,95113,Little Cloudy,None
13,9/11/2013,68,65,0.0,4,,95113,Cloudy,None
14,9/12/2013,69,71,0.0,5,,95113,Very Cloudy,None
15,9/13/2013,67,72,0.0,4,,95113,Cloudy,None
16,9/14/2013,66,72,0.0,4,,95113,Cloudy,None
17,9/15/2013,68,68,0.0,3,,95113,Cloudy,None
18,9/16/2013,71,68,0.0,4,,95113,Cloudy,None
19,9/17/2013,66,58,0.001,1,,95113,Clear,None
20,9/18/2013,69,54,0.0,0,,95113,Clear,None
21,9/19/2013,71,48,0.0,0,,95113,Clear,None
22,9/20/2013,66,65,0.0,2,,95113,Little Cloudy,None
23,9/21/2013,64,79,0.66,6,Rain,95113,Very Cloudy,Medium
24,9/22/2013,63,69,0.0,2,,95113,Little Cloudy,None
25,9/23/2013,67,63,0.0,0,,95113,Clear,None
26,9/24/2013,67,66,0.0,1,,95113,Clear,None
27,9/25/2013,63,57,0.0,1,,95113,Clear,None
28,9/26/2013,63,50,0.0,0,,95113,Clear,None
29,9/27/2013,64,50,0.0,0,,95113,Clear,None
30,9/28/2013,67,53,0.0,1,,95113,Clear,None
31,9/29/2013,66,70,0.0,2,,95113,Little Cloudy,None
32,9/30/2013,67,74,0.0,3,,95113,Cloudy,None
33,10/1/2013,63,58,0.0,3,,95113,Cloudy,None
34,10/2/2013,64,57,0.0,1,,95113,Clear,None
35,10/3/2013,62,46,0.0,0,,95113,Clear,None
36,10/4/2013,70,25,0.0,0,,95113,Clear,None
37,10/5/2013,67,31,0.0,0,,95113,Clear,None
38,10/6/2013,67,32,0.0,4,,95113,Cloudy,None
39,10/7/2013,68,38,0.0,2,,95113,Little Cloudy,None
40,10/8/2013,63,56,0.0,2,,95113,Little Cloudy,None
41,10/9/2013,59,66,0.0,2,,95113,Little Cloudy,None
42,10/10/2013,62,59,0.0,1,,95113,Clear,None
43,10/11/2013,58,73,0.0,0,,95113,Clear,None
44,10/12/2013,59,68,0.0,1,,95113,Clear,None
45,10/13/2013,60,64,0.0,1,,95113,Clear,None
46,10/14/2013,63,50,0.0,0,,95113,Clear,None
47,10/15/2013,63,43,0.0,0,,95113,Clear,None
48,10/16/2013,66,39,0.0,1,,95113,Clear,None
49,10/17/2013,65,39,0.0,0,,95113,Clear,None
50,10/18/2013,64,54,0.0,0,,95113,Clear,None
51,10/19/2013,64,57,0.0,0,,95113,Clear,None
52,10/20/2013,62,67,0.0,3,,95113,Cloudy,None
53,10/21/2013,61,74,0.0,3,,95113,Cloudy,None
